t	Alfa	omega	energia
0.035200	3.141576	4.044371	20607.240805
0.035300	3.141981	4.044499	20608.175059
0.035400	3.142385	4.044627	20609.108957
0.035500	3.142790	4.044756	20610.042496
0.035600	3.143194	4.044884	20610.975679
0.035700	3.143599	4.045013	20611.908505
0.035800	3.144003	4.045141	20612.840973
0.035900	3.144408	4.045269	20613.773084
0.036000	3.144812	4.045398	20614.704837
0.036100	3.145217	4.045526	20615.636233
0.036200	3.145621	4.045655	20616.567271
0.036300	3.146026	4.045783	20617.497952
0.036400	3.146430	4.045912	20618.428276
0.036500	3.146835	4.046040	20619.358242
0.036600	3.147240	4.046169	20620.287850
0.036700	3.147644	4.046297	20621.217100
0.036800	3.148049	4.046426	20622.145993
0.036900	3.148453	4.046555	20623.074528
0.037000	3.148858	4.046683	20624.002705
0.037100	3.149263	4.046812	20624.930524
0.037200	3.149667	4.046940	20625.857986
0.037300	3.150072	4.047069	20626.785089
0.037400	3.150477	4.047198	20627.711835
0.037500	3.150882	4.047326	20628.638222
0.037600	3.151286	4.047455	20629.564252
0.037700	3.151691	4.047584	20630.489923
0.037800	3.152096	4.047712	20631.415236
0.037900	3.152501	4.047841	20632.340191
0.038000	3.152905	4.047970	20633.264788
0.038100	3.153310	4.048098	20634.189027
0.038200	3.153715	4.048227	20635.112907
0.038300	3.154120	4.048356	20636.036429
0.038400	3.154525	4.048485	20636.959592
0.038500	3.154930	4.048613	20637.882397
0.038600	3.155334	4.048742	20638.804844
0.038700	3.155739	4.048871	20639.726932
0.038800	3.156144	4.049000	20640.648662
0.038900	3.156549	4.049129	20641.570033
0.039000	3.156954	4.049258	20642.491045
0.039100	3.157359	4.049386	20643.411699
0.039200	3.157764	4.049515	20644.331994
0.039300	3.158169	4.049644	20645.251930
0.039400	3.158574	4.049773	20646.171507
0.039500	3.158979	4.049902	20647.090726
0.039600	3.159384	4.050031	20648.009586
0.039700	3.159789	4.050160	20648.928087
0.039800	3.160194	4.050289	20649.846228
0.039900	3.160599	4.050418	20650.764011
0.040000	3.161004	4.050547	20651.681435
0.040100	3.161409	4.050676	20652.598500
0.040200	3.161814	4.050805	20653.515206
0.040300	3.162219	4.050934	20654.431552
0.040400	3.162624	4.051063	20655.347540
0.040500	3.163029	4.051192	20656.263168
0.040600	3.163435	4.051321	20657.178437
0.040700	3.163840	4.051450	20658.093346
0.040800	3.164245	4.051579	20659.007897
0.040900	3.164650	4.051708	20659.922087
0.041000	3.165055	4.051837	20660.835919
0.041100	3.165460	4.051966	20661.749391
0.041200	3.165866	4.052095	20662.662503
0.041300	3.166271	4.052225	20663.575256
0.041400	3.166676	4.052354	20664.487650
0.041500	3.167081	4.052483	20665.399683
0.041600	3.167486	4.052612	20666.311358
0.041700	3.167892	4.052741	20667.222672
0.041800	3.168297	4.052870	20668.133627
0.041900	3.168702	4.053000	20669.044222
0.042000	3.169108	4.053129	20669.954457
0.042100	3.169513	4.053258	20670.864332
0.042200	3.169918	4.053387	20671.773848
0.042300	3.170324	4.053517	20672.683003
0.042400	3.170729	4.053646	20673.591799
0.042500	3.171134	4.053775	20674.500234
0.042600	3.171540	4.053905	20675.408310
0.042700	3.171945	4.054034	20676.316025
0.042800	3.172351	4.054163	20677.223380
0.042900	3.172756	4.054293	20678.130376
0.043000	3.173161	4.054422	20679.037010
0.043100	3.173567	4.054551	20679.943285
0.043200	3.173972	4.054681	20680.849200
0.043300	3.174378	4.054810	20681.754754
0.043400	3.174783	4.054939	20682.659948
0.043500	3.175189	4.055069	20683.564781
0.043600	3.175594	4.055198	20684.469254
0.043700	3.176000	4.055328	20685.373367
0.043800	3.176405	4.055457	20686.277119
0.043900	3.176811	4.055587	20687.180511
0.044000	3.177216	4.055716	20688.083542
0.044100	3.177622	4.055846	20688.986213
0.044200	3.178028	4.055975	20689.888522
0.044300	3.178433	4.056105	20690.790472
0.044400	3.178839	4.056234	20691.692060
0.044500	3.179244	4.056364	20692.593288
0.044600	3.179650	4.056493	20693.494155
0.044700	3.180056	4.056623	20694.394661
0.044800	3.180461	4.056753	20695.294806
0.044900	3.180867	4.056882	20696.194591
0.045000	3.181273	4.057012	20697.094014
0.045100	3.181679	4.057141	20697.993077
0.045200	3.182084	4.057271	20698.891778
0.045300	3.182490	4.057401	20699.790119
0.045400	3.182896	4.057530	20700.688098
0.045500	3.183301	4.057660	20701.585717
0.045600	3.183707	4.057790	20702.482974
0.045700	3.184113	4.057920	20703.379870
0.045800	3.184519	4.058049	20704.276405
0.045900	3.184925	4.058179	20705.172578
0.046000	3.185330	4.058309	20706.068391
0.046100	3.185736	4.058439	20706.963842
0.046200	3.186142	4.058568	20707.858931
0.046300	3.186548	4.058698	20708.753659
0.046400	3.186954	4.058828	20709.648026
0.046500	3.187360	4.058958	20710.542032
0.046600	3.187766	4.059088	20711.435675
0.046700	3.188172	4.059217	20712.328958
0.046800	3.188578	4.059347	20713.221879
0.046900	3.188983	4.059477	20714.114438
0.047000	3.189389	4.059607	20715.006635
0.047100	3.189795	4.059737	20715.898471
0.047200	3.190201	4.059867	20716.789945
0.047300	3.190607	4.059997	20717.681058
0.047400	3.191013	4.060127	20718.571808
0.047500	3.191419	4.060257	20719.462197
0.047600	3.191825	4.060386	20720.352224
0.047700	3.192231	4.060516	20721.241889
0.047800	3.192638	4.060646	20722.131192
0.047900	3.193044	4.060776	20723.020134
0.048000	3.193450	4.060906	20723.908713
0.048100	3.193856	4.061036	20724.796930
0.048200	3.194262	4.061166	20725.684785
0.048300	3.194668	4.061297	20726.572278
0.048400	3.195074	4.061427	20727.459409
0.048500	3.195480	4.061557	20728.346178
0.048600	3.195886	4.061687	20729.232585
0.048700	3.196293	4.061817	20730.118629
0.048800	3.196699	4.061947	20731.004311
0.048900	3.197105	4.062077	20731.889631
0.049000	3.197511	4.062207	20732.774589
